0,1.05,1,1,48,0.9,100
130,65,1268,28,1333,158
102,51,607,227,658,329
103,51,648,242,699,345
104,52,584,262,636,366
108,54,628,268,682,376
177,88,820,327,908,504
104,52,649,322,701,426
101,50,520,353,570,454
106,53,771,362,824,468
110,55,1281,383,1336,493
112,56,334,385,390,497
106,53,391,402,444,508
107,53,750,394,803,501
101,50,545,416,595,517
111,55,326,410,381,521
104,52,898,427,950,531
96,48,1444,432,1492,528
98,49,1049,442,1098,540
128,64,491,421,555,549
117,58,452,451,510,568
117,58,155,480,213,597
128,64,16,460,80,588
98,49,233,507,282,605
148,74,840,467,914,615
130,65,1227,494,1292,624
112,56,420,574,476,686
109,54,461,590,515,699
117,58,986,577,1044,694
116,58,77,586,135,702
104,52,13,606,65,710
146,73,1220,580,1293,726
160,80,762,688,842,848
282,141,850,624,991,906
200,100,119,670,219,870
239,119,278,680,397,919
159,80,597,755,677,914
103,51,689,8,740,111
104,52,409,160,461,264
114,56,141,402,197,516
124,62,368,478,430,602
157,79,289,619,368,776
106,53,1445,726,1498,832
117,58,1143,439,1201,556
200,100,502,687,602,887
120,60,642,54,702,174
120,60,971,418,1031,538
123,61,505,505,566,628
155,78,834,525,912,680
234,117,801,78,918,312
181,91,60,473,151,654
156,78,427,644,505,800
132,66,1340,0,1406,132
142,71,1295,141,1366,283
135,68,203,450,271,585
142,71,1419,512,1490,654
180,90,1141,537,1231,717
142,71,58,620,129,762
147,73,1320,475,1393,622
295,147,1046,594,1193,889
170,85,276,406,361,576
160,80,180,467,260,627
175,88,1253,418,1341,593
194,97,0,743,97,937
190,96,87,601,183,791
190,96,767,736,863,926
193,97,847,140,944,333
195,98,49,568,147,763
200,100,1014,665,1114,865
214,107,1063,0,1170,214
212,106,325,718,431,930
223,112,482,417,594,640
220,110,37,641,147,861
323,161,1236,599,1397,922
248,124,1238,234,1362,482
249,124,342,372,466,621
255,127,403,551,530,806
310,155,12,371,167,681
319,159,555,630,714,949
378,189,738,257,927,635
430,215,1210,401,1425,831
446,224,1060,0,1284,446
480,240,719,59,959,539
