0,1.05,1,1,48,0.9,100
96,48,690,8,738,104
96,48,1053,5,1101,101
96,48,605,21,653,117
96,48,1112,20,1160,116
96,48,1144,24,1192,120
96,48,1230,34,1278,130
96,48,1349,31,1397,127
96,48,418,43,466,139
96,48,1196,32,1244,128
96,48,500,48,548,144
96,48,585,47,633,143
96,48,651,67,699,163
98,49,1121,61,1170,159
96,48,620,56,668,152
96,48,1188,56,1236,152
96,48,1274,57,1322,153
96,48,675,72,723,168
96,48,964,72,1012,168
96,48,1184,86,1232,182
96,48,268,92,316,188
96,48,1004,88,1052,184
96,48,308,96,356,192
96,48,620,96,668,192
96,48,644,96,692,192
96,48,724,104,772,200
96,48,1178,107,1226,203
96,48,696,117,744,213
96,48,308,124,356,220
96,48,1108,120,1156,216
96,48,1272,124,1320,220
96,48,260,132,308,228
96,48,1215,131,1263,227
96,48,102,149,150,245
96,48,1252,144,1300,240
96,48,1412,156,1460,252
96,48,419,165,467,261
96,48,468,160,516,256
96,48,104,180,152,276
96,48,515,184,563,280
96,48,1352,183,1400,279
96,48,1413,194,1461,290
96,48,1124,192,1172,288
96,48,1213,195,1261,291
96,48,1256,192,1304,288
96,48,1444,196,1492,292
96,48,1292,212,1340,308
96,48,384,220,432,316
96,48,539,231,587,327
96,48,1216,229,1264,325
96,48,1251,227,1299,323
96,48,1420,228,1468,324
96,48,460,232,508,328
96,48,604,232,652,328
96,48,640,244,688,340
96,48,1080,240,1128,336
96,48,268,248,316,344
96,48,998,262,1046,358
96,48,1340,260,1388,356
96,48,1424,260,1472,356
96,48,580,268,628,364
96,48,629,272,677,368
96,48,1064,264,1112,360
96,48,1125,291,1173,387
96,48,1212,280,1260,376
96,48,1445,295,1493,391
101,51,791,296,842,397
96,48,1020,296,1068,392
96,48,485,301,533,397
96,48,1344,300,1392,396
96,48,1092,304,1140,400
96,48,1159,322,1207,418
96,48,1212,312,1260,408
96,48,428,326,476,422
101,51,651,323,702,424
96,48,548,328,596,424
96,48,187,341,235,437
96,48,600,344,648,440
96,48,1259,351,1307,447
96,48,1440,345,1488,441
96,48,220,344,268,440
96,48,1104,348,1152,444
96,48,4,360,52,456
96,48,521,360,569,456
96,48,562,356,610,452
96,48,1195,369,1243,465
96,48,1232,356,1280,452
96,48,1301,360,1349,456
96,48,1412,352,1460,448
96,48,477,363,525,459
96,48,1034,370,1082,466
96,48,45,370,93,466
96,48,1004,372,1052,468
96,48,399,398,447,494
96,48,437,381,485,477
96,48,0,388,48,484
96,48,1283,387,1331,483
96,48,1312,387,1360,483
96,48,365,397,413,493
96,48,1038,402,1086,498
96,48,1067,395,1115,491
96,48,252,404,300,500
96,48,291,408,339,504
98,49,330,410,379,508
96,48,832,415,880,511
112,56,900,396,956,508
96,48,147,413,195,509
96,48,180,408,228,504
96,48,549,418,597,514
96,48,652,416,700,512
96,48,716,416,764,512
96,48,1197,421,1245,517
96,48,1419,419,1467,515
96,48,1316,428,1364,524
96,48,1444,428,1492,524
96,48,156,442,204,538
96,48,255,437,303,533
97,49,478,452,527,549
96,48,971,443,1019,539
96,48,1047,448,1095,544
96,48,1298,446,1346,542
96,48,388,452,436,548
96,48,1151,456,1199,552
96,48,1416,452,1464,548
96,48,368,460,416,556
96,48,1332,456,1380,552
96,48,16,468,64,564
96,48,66,471,114,567
96,48,274,467,322,563
96,48,180,472,228,568
96,48,416,476,464,572
96,48,1285,493,1333,589
97,48,1229,510,1277,607
109,54,158,487,212,596
96,48,204,492,252,588
98,49,365,493,414,591
96,48,1092,488,1140,584
98,49,20,501,69,599
96,48,1344,496,1392,592
128,64,846,483,910,611
97,49,729,730,778,827
96,48,1411,507,1459,603
96,48,204,520,252,616
96,48,1332,520,1380,616
96,48,1428,553,1476,649
149,75,433,643,508,792
184,92,593,737,685,921
194,97,1143,534,1240,728
200,100,55,471,155,671
304,152,1046,592,1198,896
243,121,113,628,234,871
234,117,777,276,894,510
280,140,791,66,931,346
265,132,477,630,609,895
268,134,856,244,990,512
407,204,779,551,983,958
320,160,1232,602,1392,922
374,187,252,572,439,946
302,151,566,629,717,931
