0,1.05,1,1,48,0.9,100
98,49,1348,28,1397,126
111,55,156,486,211,597
103,51,11,605,62,708
106,53,649,317,702,423
106,53,454,454,507,560
153,76,1217,574,1293,727
174,87,761,678,848,852
104,52,18,830,70,934
134,67,895,371,962,505
122,61,1175,519,1236,641
149,75,433,643,508,792
184,92,593,737,685,921
194,97,1143,534,1240,728
200,100,55,471,155,671
304,152,1046,592,1198,896
243,121,113,628,234,871
234,117,777,276,894,510
280,140,791,66,931,346
265,132,477,630,609,895
268,134,856,244,990,512
407,204,779,551,983,958
320,160,1232,602,1392,922
374,187,252,572,439,946
302,151,566,629,717,931
